Nama ,Panjang (m),Keliling (cm),Diameter (cm),Isi ,,,,,,,,,,,,,,,,,
,,57,19,"0,277",,,,,,,,,,,,,,,,,
,"7,10",9,4,0,,,,,,,,,,,,,,,,,
,,19,7,"0,050",,,,,,,,,,,,,,,,,
,,28,10,"0,094",,,,,,,,,,,,,,,,,
,,38,13,"0,147",,,,,,,,,,,,,,,,,
,,47,16,"0,210",,,,,,,,,,,,,,,,,
,,57,19,"0,282",,,,,,,,,,,,,,,,,
,"7,20",9,4,0,,,,,,,,,,,,,,,,,
,,19,7,"0,051",,,,,,,,,,,,,,,,,
,,28,10,"0,096",,,,,,,,,,,,,,,,,
,,38,13,"0,150",,,,,,,,,,,,,,,,,
,,47,16,"0,214",,,,,,,,,,,,,,,,,
,,57,19,"0,288",,,,,,,,,,,,,,,,,
,"7,30",9,4,0,,,,,,,,,,,,,,,,,
,,19,7,"0,052",,,,,,,,,,,,,,,,,
,,28,10,"0,098",,,,,,,,,,,,,,,,,
,,38,13,"0,153",,,,,,,,,,,,,,,,,
,,47,16,"0,219",,,,,,,,,,,,,,,,,
,,57,19,"0,293",,,,,,,,,,,,,,,,,
,"7,40",9,4,0,,,,,,,,,,,,,,,,,
,,19,7,"0,053",,,,,,,,,,,,,,,,,
,,28,10,"0,100",,,,,,,,,,,,,,,,,
,,38,13,"0,156",,,,,,,,,,,,,,,,,
,,47,16,"0,223",,,,,,,,,,,,,,,,,
,,57,19,"0,299",,,,,,,,,,,,,,,,,
,"7,50",9,4,0,,,,,,,,,,,,,,,,,
,,19,7,"0,054",,,,,,,,,,,,,,,,,
,,28,10,"0,102",,,,,,,,,,,,,,,,,
,,38,13,"0,159",,,,,,,,,,,,,,,,,
,,47,16,"0,227",,,,,,,,,,,,,,,,,
,,57,19,"0,304",,,,,,,,,,,,,,,,,
"Tabel A.12  ̶  AI (Kayu bundar kecil) (p : 7,60 - 8,10 m; d : 4 - 19 cm)","7,60",9,4,0,,,,,,,,,,,,,,,,,
,,19,7,"0,055",,,,,,,,,,,,,,,,,
,,28,10,"0,104",,,,,,,,,,,,,,,,,
,,38,13,"0,162",,,,,,,,,,,,,,,,,
,,47,16,"0,231",,,,,,,,,,,,,,,,,
,,57,19,"0,309",,,,,,,,,,,,,,,,,
,"7,70",9,4,0,,,,,,,,,,,,,,,,,
,,19,7,"0,056",,,,,,,,,,,,,,,,,
,,28,10,"0,106",,,,,,,,,,,,,,,,,
,,38,13,"0,165",,,,,,,,,,,,,,,,,
,,47,16,"0,236",,,,,,,,,,,,,,,,,
,,57,19,"0,315",,,,,,,,,,,,,,,,,
,"7,80",9,4,0,,,,,,,,,,,,,,,,,
,,19,7,"0,058",,,,,,,,,,,,,,,,,
,,28,10,"0,108",,,,,,,,,,,,,,,,,
,,38,13,"0,169",,,,,,,,,,,,,,,,,
,,47,16,"0,240",,,,,,,,,,,,,,,,,
,,57,19,"0,320",,,,,,,,,,,,,,,,,
,"7,90",9,4,0,,,,,,,,,,,,,,,,,
,,19,7,"0,059",,,,,,,,,,,,,,,,,
,,28,10,"0,110",,,,,,,,,,,,,,,,,
,,38,13,"0,172",,,,,,,,,,,,,,,,,
,,47,16,"0,245",,,,,,,,,,,,,,,,,
,,57,19,"0,326",,,,,,,,,,,,,,,,,
,"8,00",9,4,0,,,,,,,,,,,,,,,,,
,,19,7,"0,060",,,,,,,,,,,,,,,,,
,,28,10,"0,112",,,,,,,,,,,,,,,,,
